@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
5853343169;node;37.3495223;13.7595056;39567;;Sicilpetroli;Sa.Ra. S.A.S. Del Dr. Racalbuto Antonino & Co;;;;;;Blue
5853343170;node;40.6323956;17.9380689;39550;;SP Energia Siciliana;Pennetta Petroli S.R.L.;;;;;;Blue
5853343172;node;41.8942291;12.4312391;39500;;;Termo Trading Petroli S.R.L.;;;;;;Blue
5853343176;node;41.0177566;15.8157608;39379;;;Penta Petroli Srl;;;;;;Blue
5853343179;node;42.0365760;12.7062424;39318;;;Valle Martella Carburanti S.R.L.;;;;;;Blue
5853343180;node;40.8034977;14.5238071;39269;;;Petrolchimica Sud - S.R.L.;;;;;;Blue
5853343183;node;42.0495277;12.6152766;39199;;;Tuscia Petroli S.P.A.;;;;;;Blue
5853343358;node;42.8618393;12.5978570;32703;;Area 34;Giontella S.R.L;;;;;;Blue
5853343362;node;41.9045995;14.4867007;32654;;;Felice Corrado;;;;;;Blue
5853343365;node;40.9683882;14.2309971;32615;Indipendente;Villano Fuel;Pecovela Tiziana;;;;;;Blue
5853343367;node;44.8156289;9.9876519;32503;;;Ieva Vincenzo;;;;;;Blue
5853343373;node;41.6289921;13.3400799;32438;;;Al-Gedi S.R.L.;;;;;;Blue
5853343374;node;41.0170337;14.1779061;32426;;;Piatto Group S.R.L.;;;;;;Blue
5853343376;node;40.1511772;15.3231845;32380;;;Amorelli Francesco;;;;;;Blue
5853343378;node;41.1969144;15.0347558;32359;;;Eredi di Fierro Armando di Antonio Fierro & C. S.A.S. - Società In Accomandita Semplice;;;;;;Blue
5853343380;node;41.1215471;15.1582719;32350;;Ciccone Carburanti;*Ciccone Pasquale*;;;;;;Blue
5853343381;node;45.0054681;12.2208594;32337;;;Ali' S.P.A.;;;;;;Blue
5853343382;node;41.1997740;15.0354365;32322;;;Il Trappeto S.R.L.;;;;;;Blue
5853343383;node;41.0343685;15.0300979;32293;;;Ruzza G. & C. S.A.S. di Ruzza Giorgia;;;;;;Blue
5853343384;node;41.0706522;14.7547272;32285;;Elios;Elios Petroli di Gianmaria Catalano;;;;;;Blue
5853343387;node;41.8944975;12.5924043;39046;;;Milita Cristina;;;;;;Blue
5853343389;node;40.6525671;15.8693661;39029;;;Sergio Petroli S.R.L.;;;;;;Blue
5853343391;node;44.8500035;10.4667771;38986;;;Stazione di Servizio con Autolavaggio di Baccarini Mattia e Cisca To Gianluca Snc;;;;;;Blue
5853343392;node;45.5965489;9.0453486;38985;;;Corti Stefano;;;;;;Blue
